time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230325:0710,82.01,9.79,7.64,8.07,0,29523.6
20230325:0810,297.53,18.78,8.44,6.62,0,107110.8
20230325:0910,410.01,26.96,9.23,9.93,0,147603.6
20230325:1010,662.8,33.76,10.04,9.79,0,238608
20230325:1110,912.29,38.46,10.53,8.76,0,328424.4
20230325:1210,940.65,40.34,11.13,8.14,0,338634
20230325:1310,881.29,39.08,11.28,7.86,0,317264.4
20230325:1410,767.46,34.9,11.51,7.45,0,276285.6
20230325:1510,504.99,28.47,11.48,6.76,0,181796.4
20230325:1610,147.58,20.51,10.79,6,0,53128.8
20230325:1710,112.52,11.65,9.76,3.86,0,40507.2
20230325:1810,3.62,2.37,8.95,2.97,0,1303.2
20230325:1910,0,0,8.66,3.1,0,0
20230325:2010,0,0,7.84,2.76,0,0
20230325:2110,0,0,7.51,2.55,0,0
20230325:2210,0,0,7.21,2.97,0,0
20230325:2310,0,0,7.28,3.24,0,0
20230326:0010,0,0,7.28,3.24,0,0
20230326:0110,0,0,7.34,3.24,0,0
20230326:0210,0,0,7.07,3.24,0,0
20230326:0310,0,0,6.68,2.48,0,0
20230326:0410,0,0,6.5,1.45,0,0
20230326:0510,0,0,6.34,0.62,0,0
20230326:0610,0,0,6.27,1.17,0,0
20230326:0710,64.99,10.15,6.17,1.24,0,23396.4
20230326:0810,155.04,19.14,6.33,1.59,0,55814.4
20230326:0910,263.03,27.34,6.63,2.41,0,94690.8
20230326:1010,145.68,34.15,7.47,3.86,0,52444.8
20230326:1110,301.43,38.86,8.21,4.69,0,108514.8
20230326:1210,219.87,40.74,8.94,5.66,0,79153.2
20230326:1310,162.71,39.45,8.33,5.38,0,58575.6
20230326:1410,192.42,35.24,8.13,5.17,0,69271.2
20230326:1510,209.4,28.77,8.37,5.17,0,75384
20230326:1610,281.47,20.79,8.4,5.1,0,101329.2
20230326:1710,74.07,11.91,8.16,4.76,0,26665.2
20230326:1810,8.15,2.63,7.73,4,0,2934
20230326:1910,0,0,6.83,2.21,0,0
20230326:2010,0,0,5.99,1.93,0,0
20230326:2110,0,0,5.17,1.93,0,0
20230326:2210,0,0,4.66,1.79,0,0
20230326:2310,0,0,5,1.66,0,0
20230327:0010,0,0,4.58,1.72,0,0
20230327:0110,0,0,4.8,1.52,0,0
20230327:0210,0,0,4.77,1.38,0,0
20230327:0310,0,0,4.77,1.31,0,0
20230327:0410,0,0,4.63,1.31,0,0
20230327:0510,0,0,4.4,1.59,0,0
20230327:0610,0,0,4.05,1.59,0,0
20230327:0710,116.32,10.51,4.49,2,0,41875.2
20230327:0810,378.48,19.51,4.95,2.34,0,136252.8
20230327:0910,629.74,27.72,5.43,2.41,0,226706.4
20230327:1010,805.57,34.55,5.77,2.41,0,290005.2
20230327:1110,308.58,39.26,6.51,2.55,0,111088.8
20230327:1210,798.76,41.13,7.09,2.69,0,287553.6
20230327:1310,652.64,39.82,7.39,2.9,0,234950.4
20230327:1410,848.33,35.58,7.61,3.17,0,305398.8
20230327:1510,612.53,29.08,7.62,3.38,0,220510.8
20230327:1610,318.27,21.07,7.41,3.45,0,114577.2
20230327:1710,174.68,12.17,7.01,3.45,0,62884.8
20230327:1810,8.15,2.88,6.6,3.24,0,2934
20230327:1910,0,0,6.62,3.52,0,0
20230327:2010,0,0,6.16,3.59,0,0
20230327:2110,0,0,5.73,3.59,0,0
20230327:2210,0,0,5.59,3.72,0,0
20230327:2310,0,0,5.45,3.72,0,0
20230328:0010,0,0,5.5,3.79,0,0
20230328:0110,0,0,5.6,3.93,0,0
20230328:0210,0,0,5.7,3.86,0,0
20230328:0310,0,0,5.83,3.79,0,0
20230328:0410,0,0,6.08,3.52,0,0
20230328:0510,0,0,6.34,3.59,0,0
20230328:0610,0,0,6.77,3.93,0,0
20230328:0710,18.92,10.87,7.65,4.69,0,6811.2
20230328:0810,64.33,19.87,7.93,5.38,0,23158.8
20230328:0910,99.33,28.1,7.68,5.17,0,35758.8
20230328:1010,168.38,34.94,7.78,5.79,0,60616.8
20230328:1110,162.71,39.66,7.71,6.28,0,58575.6
20230328:1210,112.57,41.53,8.18,7.79,0,40525.2
20230328:1310,180.68,40.19,8.06,6.41,0,65044.8
20230328:1410,91.76,35.91,8.15,6.55,0,33033.6
20230328:1510,189.9,29.38,8.58,6.21,0,68364
20230328:1610,133.52,21.34,9.11,5.86,0,48067.2
20230328:1710,124.99,12.43,9.65,4.9,0,44996.4
20230328:1810,3.62,3.14,10.02,3.86,0,1303.2
20230328:1910,0,0,9.34,3.24,0,0
20230328:2010,0,0,9.49,2.9,0,0
20230328:2110,0,0,9.62,2.48,0,0
20230328:2210,0,0,9.64,2.48,0,0
20230328:2310,0,0,9.65,2.83,0,0
20230329:0010,0,0,9.6,2.83,0,0
20230329:0110,0,0,9.44,2.83,0,0
20230329:0210,0,0,9.32,3.38,0,0
20230329:0310,0,0,9.22,3.59,0,0
20230329:0410,0,0,9.19,3.59,0,0
20230329:0510,0,0,9.43,3.72,0,0
20230329:0610,0.95,1.9,9.81,4,0,342
20230329:0710,26.49,11.22,10.1,4.41,0,9536.4
20230329:0810,55.81,20.24,10.53,4.97,0,20091.6
20230329:0910,92.71,28.47,10.9,5.86,0,33375.6
20230329:1010,111.63,35.33,11.04,5.24,0,40186.8
20230329:1110,209.39,40.05,11.4,6.28,0,75380.4
20230329:1210,183.52,41.92,11.49,6.48,0,66067.2
20230329:1310,207.81,40.56,12.1,6.83,0,74811.6
20230329:1410,186.04,36.25,12.57,6.21,0,66974.4
20230329:1510,147.22,29.68,12.6,5.72,0,52999.2
20230329:1610,61.49,21.62,12.48,5.93,0,22136.4
20230329:1710,70.41,12.69,12.2,6.14,0,25347.6
20230329:1810,4.53,3.4,11.79,5.86,0,1630.8
20230329:1910,0,0,10.78,5.59,0,0
20230329:2010,0,0,10.61,6,0,0
20230329:2110,0,0,10.85,5.86,0,0
20230329:2210,0,0,10.96,6.41,0,0
20230329:2310,0,0,10.69,6.83,0,0
20230330:0010,0,0,10.34,7.03,0,0
20230330:0110,0,0,10.01,6.76,0,0
20230330:0210,0,0,9.61,6.41,0,0
20230330:0310,0,0,9.5,6,0,0
20230330:0410,0,0,9.26,5.52,0,0
20230330:0510,0,0,9.09,5.45,0,0
20230330:0610,2.84,2.26,9.24,5.72,0,1022.4
20230330:0710,12.3,11.58,9.78,5.59,0,4428
20230330:0810,322.79,20.6,10.1,5.86,0,116204.4
20230330:0910,194.74,28.85,10.75,4.97,0,70106.4
20230330:1010,517.76,35.72,11.73,5.45,0,186393.6
20230330:1110,443.72,40.45,12.82,5.72,0,159739.2
20230330:1210,361.01,42.31,13.32,5.59,0,129963.6
20230330:1310,289.06,40.93,13.73,5.79,0,104061.6
20230330:1410,614.61,36.58,12.98,6.41,0,221259.6
20230330:1510,297.38,29.98,13.47,5.79,0,107056.8
20230330:1610,166.09,21.89,12.6,5.93,0,59792.4
20230330:1710,119.31,12.95,11.73,5.66,0,42951.6
20230330:1810,11.77,3.65,11.09,5.59,0,4237.2
20230330:1910,0,0,10.61,5.93,0,0
20230330:2010,0,0,10.34,6.97,0,0
20230330:2110,0,0,10.03,6,0,0
20230330:2210,0,0,9.75,6.97,0,0
20230330:2310,0,0,9.8,6.83,0,0
20230331:0010,0,0,10.04,7.17,0,0
20230331:0110,0,0,9.95,6.76,0,0
20230331:0210,0,0,9.95,6.83,0,0
20230331:0310,0,0,9.84,6.76,0,0
20230331:0410,0,0,9.76,6.41,0,0
20230331:0510,0,0,9.69,6.48,0,0
20230331:0610,5.68,2.61,9.61,7.1,0,2044.8
20230331:0710,70.56,11.93,9.47,6.62,0,25401.6
20230331:0810,143.41,20.96,9.28,6.48,0,51627.6
20230331:0910,125.82,29.22,9.12,5.79,0,45295.2
20230331:1010,157.98,36.1,9.28,5.52,0,56872.8
20230331:1110,275.51,40.85,9.45,5.72,0,99183.6
20230331:1210,201.49,42.7,9.68,6,0,72536.4
20230331:1310,174.06,41.29,9.65,7.45,0,62661.6
20230331:1410,237.77,36.91,9.72,7.24,0,85597.2
20230331:1510,253.78,30.27,9.49,7.86,0,91360.8
20230331:1610,95.54,22.16,9.63,7.17,0,34394.4
20230331:1710,43.52,13.21,9.38,7.31,0,15667.2
20230331:1810,4.53,3.9,9.14,6.97,0,1630.8
20230331:1910,0,0,9.04,6.48,0,0
20230331:2010,0,0,9.08,5.93,0,0
20230331:2110,0,0,9.09,5.72,0,0
20230331:2210,0,0,8.99,5.52,0,0
20230331:2310,0,0,9,5.31,0,0
20230401:0010,0,0,8.92,5.24,0,0
20230401:0110,0,0,8.69,5.17,0,0
20230401:0210,0,0,8.5,5.17,0,0
20230401:0310,0,0,8.4,5.17,0,0
20230401:0410,0,0,8.22,4.97,0,0
20230401:0510,0,0,8.17,4.69,0,0
20230401:0610,1.89,2.96,8.11,4.41,0,680.4
20230401:0710,52.03,12.28,8.19,4.62,0,18730.8
20230401:0810,150.99,21.32,8.16,4.21,0,54356.4
20230401:0910,71.89,29.59,8.25,3.1,0,25880.4
20230401:1010,201.75,36.49,8.32,2.83,0,72630
20230401:1110,356.04,41.24,8.57,2.97,0,128174.4
20230401:1210,366.62,43.09,9.05,3.1,0,131983.2
20230401:1310,274.74,41.65,9.73,3.72,0,98906.4
20230401:1410,395.64,37.24,10.25,4.48,0,142430.4
20230401:1510,557.63,30.57,10.74,4.83,0,200746.8
20230401:1610,143.2,22.43,10.77,4.83,0,51552
20230401:1710,213.71,13.47,10.5,4.48,0,76935.6
20230401:1810,15.39,4.16,9.67,4.07,0,5540.4
20230401:1910,0,0,9.03,3.45,0,0
20230401:2010,0,0,8.37,3.59,0,0
20230401:2110,0,0,7.89,3.59,0,0
20230401:2210,0,0,7.42,3.52,0,0
20230401:2310,0,0,7,3.45,0,0
20230402:0010,0,0,6.68,3.52,0,0
20230402:0110,0,0,6.58,3.52,0,0
20230402:0210,0,0,6.47,3.52,0,0
20230402:0310,0,0,6.35,3.45,0,0
20230402:0410,0,0,6.23,3.45,0,0
20230402:0510,0,0,6.11,3.45,0,0
20230402:0610,7.57,3.31,5.91,3.38,0,2725.2
20230402:0710,87.89,12.63,6.46,2.83,0,31640.4
20230402:0810,302.72,21.68,7.48,4.41,0,108979.2
20230402:0910,128.65,29.96,8.16,4.48,0,46314
20230402:1010,157.98,36.87,8.29,3.93,0,56872.8
20230402:1110,107.84,41.63,8.55,4,0,38822.4
20230402:1210,308.92,43.47,8.94,4.41,0,111211.2
20230402:1310,514.29,42.01,9.99,4.62,0,185144.4
20230402:1410,359.33,37.56,9.92,4.34,0,129358.8
20230402:1510,478.42,30.86,10.2,4,0,172231.2
20230402:1610,429.55,22.7,10.13,3.31,0,154638
20230402:1710,188.18,13.72,9.84,2.97,0,67744.8
20230402:1810,20.82,4.41,9.01,2.48,0,7495.2
20230402:1910,0,0,8.05,2.07,0,0
20230402:2010,0,0,6.77,2.41,0,0
20230402:2110,0,0,5.75,2.62,0,0
20230402:2210,0,0,4.97,2.83,0,0
20230402:2310,0,0,4.5,2.97,0,0
20230403:0010,0,0,3.79,2.83,0,0
20230403:0110,0,0,3.18,2.76,0,0
20230403:0210,0,0,2.64,2.62,0,0
20230403:0310,0,0,2.33,2.55,0,0
20230403:0410,0,0,1.98,2.48,0,0
20230403:0510,0,0,1.53,2.48,0,0
20230403:0610,16.31,3.66,1.35,2.48,0,5871.6
20230403:0710,217.41,12.98,2.31,2.41,0,78267.6
20230403:0810,458.24,22.03,4.12,3.1,0,164966.4
20230403:0910,677.95,30.33,5.66,4.14,0,244062
20230403:1010,746.29,37.26,6.63,4,0,268664.4
20230403:1110,899.78,42.03,7.67,3.86,0,323920.8
20230403:1210,1052.25,43.86,8.4,3.66,0,378810
20230403:1310,1011.5,42.37,9.05,3.45,0,364140
20230403:1410,853.67,37.89,9.37,3.31,0,307321.2
20230403:1510,719.59,31.15,9.73,3.17,0,259052.4
20230403:1610,464.31,22.97,10.04,2.97,0,167151.6
20230403:1710,241.1,13.98,10.01,2.69,0,86796
20230403:1810,23.53,4.66,9.37,2,0,8470.8
20230403:1910,0,0,8.08,2.55,0,0
20230403:2010,0,0,6.5,2.76,0,0
20230403:2110,0,0,5.38,3.1,0,0
20230403:2210,0,0,4.54,3.31,0,0
20230403:2310,0,0,3.75,3.17,0,0
20230404:0010,0,0,2.9,2.83,0,0
20230404:0110,0,0,2.24,2.41,0,0
20230404:0210,0,0,1.43,2.28,0,0
20230404:0310,0,0,0.78,2.34,0,0
20230404:0410,0,0,0.33,2.34,0,0
20230404:0510,0,0,-0.1,2.21,0,0
20230404:0610,19.16,4.01,-0.45,2.28,0,6897.6
20230404:0710,220.64,13.33,0.87,2.14,0,79430.4
20230404:0810,463.67,22.39,3.8,2.28,0,166921.2
20230404:0910,690.92,30.7,6.09,1.79,0,248731.2
20230404:1010,879.74,37.64,7.81,1.66,0,316706.4
20230404:1110,1016.5,42.42,9.06,1.86,0,365940
20230404:1210,1005.94,44.24,10.11,2.07,0,362138.4
20230404:1310,982.09,42.73,10.89,2.34,0,353552.4
20230404:1410,871.99,38.21,11.44,2.48,0,313916.4
20230404:1510,682.68,31.44,11.62,2.41,0,245764.8
20230404:1610,466.79,23.24,11.55,2.34,0,168044.4
20230404:1710,188.47,14.23,11.2,2.21,0,67849.2
20230404:1810,22.63,4.91,10.24,2,0,8146.8
20230404:1910,0,0,8.68,2.48,0,0
20230404:2010,0,0,6.98,2.62,0,0
20230404:2110,0,0,5.8,2.76,0,0
20230404:2210,0,0,4.89,2.62,0,0
20230404:2310,0,0,4.3,2.41,0,0
20230405:0010,0,0,4.05,2.28,0,0
20230405:0110,0,0,3.63,2.21,0,0
20230405:0210,0,0,3.33,2.14,0,0
20230405:0310,0,0,3.47,2.07,0,0
20230405:0410,0,0,3.74,2.07,0,0
20230405:0510,0,0,4.24,2,0,0
20230405:0610,8.51,4.35,4.68,2.07,0,3063.6
20230405:0710,79.36,13.68,5.41,1.93,0,28569.6
20230405:0810,65.27,22.74,6.31,2.34,0,23497.2
20230405:0910,226.28,31.06,7.28,2.83,0,81460.8
20230405:1010,303.79,38.02,8.61,3.38,0,109364.4
20230405:1110,142.84,42.8,9.06,3.59,0,51422.4
20230405:1210,144.73,44.62,9.56,3.93,0,52102.8
20230405:1310,171.22,43.09,9.54,3.72,0,61639.2
20230405:1410,112.57,38.53,9.55,3.52,0,40525.2
20230405:1510,114.46,31.73,9.37,3.38,0,41205.6
20230405:1610,79.46,23.5,9.56,3.52,0,28605.6
20230405:1710,54.87,14.48,9.26,3.45,0,19753.2
20230405:1810,8.15,5.16,8.91,3.31,0,2934
20230405:1910,0,0,8.44,3.1,0,0
20230405:2010,0,0,8.25,3.1,0,0
20230405:2110,0,0,8.28,3.1,0,0
20230405:2210,0,0,8.39,3.1,0,0
20230405:2310,0,0,8.54,3.03,0,0
20230406:0010,0,0,8.7,3.17,0,0
20230406:0110,0,0,8.81,3.52,0,0
20230406:0210,0,0,8.75,3.86,0,0
20230406:0310,0,0,8.32,4.14,0,0
20230406:0410,0,0,7.88,4.07,0,0
20230406:0510,0,0,7.75,3.93,0,0
20230406:0610,14.19,4.69,7.95,3.86,0,5108.4
20230406:0710,137.73,14.02,8.29,3.66,0,49582.8
20230406:0810,436.25,23.09,8.89,4.41,0,157050
20230406:0910,558.28,31.43,9.64,5.17,0,200980.8
20230406:1010,203.54,38.4,10.41,5.59,0,73274.4
20230406:1110,292.5,43.19,11.18,5.52,0,105300
20230406:1210,784.26,45,11.84,5.24,0,282333.6
20230406:1310,202.44,43.44,12.11,5.17,0,72878.4
20230406:1410,719.94,38.85,10.82,5.52,0,259178.4
20230406:1510,575.06,32.02,10.67,5.72,0,207021.6
20230406:1610,240.57,23.76,10.55,5.38,0,86605.2
20230406:1710,166.23,14.73,10.2,4.48,0,59842.8
20230406:1810,20.82,5.41,9.82,3.72,0,7495.2
20230406:1910,0,0,8.69,2.83,0,0
20230406:2010,0,0,7.45,2.62,0,0
20230406:2110,0,0,6.43,2.62,0,0
20230406:2210,0,0,5.61,2.69,0,0
20230406:2310,0,0,4.87,2.48,0,0
20230407:0010,0,0,4.13,2.28,0,0
20230407:0110,0,0,3.29,2.28,0,0
20230407:0210,0,0,2.51,2.21,0,0
20230407:0310,0,0,1.77,2.07,0,0
20230407:0410,0,0,1.3,1.86,0,0
20230407:0510,0,0,1.32,1.72,0,0
20230407:0610,27.01,5.04,1.54,1.52,0,9723.6
20230407:0710,234.64,14.36,3.01,1.17,0,84470.4
20230407:0810,467.91,23.44,6.6,1.45,0,168447.6
20230407:0910,681.39,31.79,8.24,2.21,0,245300.4
20230407:1010,885.21,38.77,9.5,2.28,0,318675.6
20230407:1110,966.97,43.57,10.55,1.93,0,348109.2
20230407:1210,1007.26,45.38,11.46,1.79,0,362613.6
20230407:1310,977.92,43.8,12.13,1.72,0,352051.2
20230407:1410,867.1,39.17,12.55,1.52,0,312156
20230407:1510,659.07,32.3,12.71,1.45,0,237265.2
20230407:1610,463.77,24.02,12.51,1.45,0,166957.2
20230407:1710,231.68,14.98,12.16,1.38,0,83404.8
20230407:1810,30.77,5.66,11.51,1.31,0,11077.2
20230407:1910,0,0,10.07,1.31,0,0
20230407:2010,0,0,7.8,1.66,0,0
20230407:2110,0,0,5.99,2.07,0,0
20230407:2210,0,0,4.86,2.21,0,0
20230407:2310,0,0,3.94,2.21,0,0
20230408:0010,0,0,3.27,2.14,0,0
20230408:0110,0,0,2.92,2,0,0
20230408:0210,0,0,2.27,1.93,0,0
20230408:0310,0,0,1.62,1.93,0,0
20230408:0410,0,0,1.15,1.93,0,0
20230408:0510,0,0,0.89,2,0,0
20230408:0610,15.14,5.37,0.94,2,0,5450.4
20230408:0710,149.6,14.7,3.25,1.59,0,53856
20230408:0810,365.93,23.79,7.18,1.66,0,131734.8
20230408:0910,553.65,32.15,9.26,2.21,0,199314
20230408:1010,713.13,39.14,10.55,2.55,0,256726.8
20230408:1110,737.35,43.96,11.63,3.17,0,265446
20230408:1210,695.03,45.75,12.24,3.52,0,250210.8
20230408:1310,550.72,44.15,12.4,3.38,0,198259.2
20230408:1410,675.74,39.48,12.5,3.45,0,243266.4
20230408:1510,507.48,32.59,12.45,3.38,0,182692.8
20230408:1610,242.25,24.28,12.21,3.24,0,87210
20230408:1710,188.1,15.23,11.75,2.76,0,67716
20230408:1810,30.77,5.9,10.77,2.28,0,11077.2
20230408:1910,0,0,9.63,2.14,0,0
20230408:2010,0,0,8.04,2.14,0,0
20230408:2110,0,0,7.09,2.14,0,0
20230408:2210,0,0,6.51,2.28,0,0
20230408:2310,0,0,6.14,2.55,0,0
20230409:0010,0,0,6.05,2.9,0,0
20230409:0110,0,0,6.24,3.1,0,0
20230409:0210,0,0,5.95,3.03,0,0
20230409:0310,0,0,5.59,2.97,0,0
20230409:0410,0,0,5.09,3.1,0,0
20230409:0510,0,0,4.84,3.1,0,0
20230409:0610,29.94,5.71,4.74,3.24,0,10778.4
20230409:0710,123.42,15.04,5.93,3.03,0,44431.2
20230409:0810,241.32,24.13,8.12,4,0,86875.2
20230409:0910,572.28,32.5,10.13,4.48,0,206020.8
20230409:1010,724.87,39.51,11.83,4.9,0,260953.2
20230409:1110,813.59,44.34,13.08,5.45,0,292892.4
20230409:1210,666.91,46.13,13.87,6.41,0,240087.6
20230409:1310,577.1,44.49,13.93,6.41,0,207756
20230409:1410,344.91,39.8,13.47,5.59,0,124167.6
20230409:1510,161.29,32.87,13.17,5.45,0,58064.4
20230409:1610,165.18,24.54,12.75,5.31,0,59464.8
20230409:1710,64.33,15.47,12.22,4.83,0,23158.8
20230409:1810,24.44,6.15,11.35,4.62,0,8798.4
20230409:1910,0,0,10.61,4.62,0,0
20230409:2010,0,0,10.27,4.62,0,0
20230409:2110,0,0,10.13,4.55,0,0
20230409:2210,0,0,10.08,4.48,0,0
20230409:2310,0,0,10.04,4.62,0,0
20230410:0010,0,0,9.92,4.69,0,0
20230410:0110,0,0,9.59,4.9,0,0
20230410:0210,0,0,9.65,5.17,0,0
20230410:0310,0,0,9.86,5.03,0,0
20230410:0410,0,0,10.05,4.69,0,0
20230410:0510,0,0,10.14,4.48,0,0
20230410:0610,15.14,6.04,10.25,4.55,0,5450.4
20230410:0710,45.41,15.37,10.09,4.76,0,16347.6
20230410:0810,76.62,24.47,10.26,4.62,0,27583.2
20230410:0910,135.28,32.85,10.38,5.03,0,48700.8
20230410:1010,305.56,39.88,10.23,6.48,0,110001.6
20230410:1110,373.29,44.71,10.39,6.69,0,134384.4
20230410:1210,845.5,46.5,11.8,7.17,0,304380
20230410:1310,900.26,44.84,10.82,9.38,0,324093.6
20230410:1410,798.2,40.11,10.97,9.1,0,287352
20230410:1510,568.17,33.15,11.1,9.38,0,204541.2
20230410:1610,404.77,24.8,10.5,9.24,0,145717.2
20230410:1710,247.67,15.72,9.89,8.55,0,89161.2
20230410:1810,35.3,6.39,9.09,9.1,0,12708
20230410:1910,0,0,8.09,7.52,0,0
20230410:2010,0,0,7.63,7.03,0,0
20230410:2110,0,0,7.22,6.62,0,0
20230410:2210,0,0,6.92,6.07,0,0
20230410:2310,0,0,6.74,5.86,0,0
20230411:0010,0,0,6.49,5.79,0,0
20230411:0110,0,0,6.17,5.59,0,0
20230411:0210,0,0,5.89,5.31,0,0
20230411:0310,0,0,5.79,5.24,0,0
20230411:0410,0,0,5.71,5.1,0,0
20230411:0510,0,0,5.69,4.62,0,0
20230411:0610,41.83,6.38,5.63,4.28,0,15058.8
20230411:0710,224.74,15.71,6.34,3.1,0,80906.4
20230411:0810,310.5,24.81,7.92,4.69,0,111780
20230411:0910,418.78,33.2,9.24,6,0,150760.8
20230411:1010,415.33,40.25,10.12,5.86,0,149518.8
20230411:1110,235.66,45.09,10.66,6.83,0,84837.6
20230411:1210,174.06,46.87,10.13,6.55,0,62661.6
20230411:1310,198.66,45.18,9.55,6.76,0,71517.6
20230411:1410,131.49,40.41,9.05,7.45,0,47336.4
20230411:1510,92.71,33.42,8.61,7.59,0,33375.6
20230411:1610,54.87,25.05,8.27,8,0,19753.2
20230411:1710,48.24,15.96,8.22,8.48,0,17366.4
20230411:1810,5.43,6.64,8.59,9.24,0,1954.8
20230411:1910,0,0,9.1,8.41,0,0
20230411:2010,0,0,8.4,7.66,0,0
20230411:2110,0,0,7.41,6.9,0,0
20230411:2210,0,0,6.86,6.28,0,0
20230411:2310,0,0,6.31,6.14,0,0
20230412:0010,0,0,5.69,6,0,0
20230412:0110,0,0,5.08,5.52,0,0
20230412:0210,0,0,4.69,5.24,0,0
20230412:0310,0,0,4.43,4.97,0,0
20230412:0410,0,0,4.09,5.45,0,0
20230412:0510,0,0,3.77,5.24,0,0
20230412:0610,48.74,6.7,3.75,5.03,0,17546.4
20230412:0710,216.14,16.03,4.3,4.76,0,77810.4
20230412:0810,477.76,25.14,5.35,6.48,0,171993.6
20230412:0910,324.57,33.55,6.68,9.03,0,116845.2
20230412:1010,96.49,40.61,7.67,9.72,0,34736.4
20230412:1110,102.17,45.46,8.56,9.86,0,36781.2
20230412:1210,773.38,47.23,8.13,10.07,0,278416.8
20230412:1310,110.68,45.52,8,10,0,39844.8
20230412:1410,648.91,40.72,7.48,9.24,0,233607.6
20230412:1510,152.3,33.7,7.15,8.76,0,54828
20230412:1610,246.64,25.31,7.24,8.07,0,88790.4
20230412:1710,57.7,16.21,6.37,10.69,0,20772
20230412:1810,17.97,6.88,6.22,9.93,0,6469.2
20230412:1910,0,0,6.23,7.52,0,0
20230412:2010,0,0,6.01,7.45,0,0
20230412:2110,0,0,6.2,8.34,0,0
20230412:2210,0,0,6.45,8.21,0,0
20230412:2310,0,0,6.33,7.86,0,0
20230413:0010,0,0,5.96,7.31,0,0
20230413:0110,0,0,5.63,6.83,0,0
20230413:0210,0,0,5.36,6.41,0,0
20230413:0310,0,0,5.15,6,0,0
20230413:0410,0,0,4.83,5.52,0,0
20230413:0510,0,0,4.56,5.17,0,0
20230413:0610,53.19,7.03,4.46,4.83,0,19148.4
20230413:0710,259.8,16.36,5.7,4.21,0,93528
20230413:0810,428.65,25.48,7.02,6,0,154314
20230413:0910,632.05,33.9,7.97,6.28,0,227538
20230413:1010,827.14,40.97,8.69,6.28,0,297770.4
20230413:1110,975.66,45.83,9.26,6.21,0,351237.6
20230413:1210,990.79,47.6,9.79,5.93,0,356684.4
20230413:1310,330.17,45.86,10.17,5.93,0,118861.2
20230413:1410,436.64,41.03,10.24,6.14,0,157190.4
20230413:1510,556.91,33.97,10.09,6.07,0,200487.6
20230413:1610,485.82,25.56,9.52,5.66,0,174895.2
20230413:1710,259.1,16.45,8.94,5.03,0,93276
20230413:1810,46.92,7.12,8.25,4.14,0,16891.2
20230413:1910,0,0,6.9,3.17,0,0
20230413:2010,0,0,5.82,2.69,0,0
20230413:2110,0,0,5.01,2.21,0,0
20230413:2210,0,0,4.22,2,0,0
20230413:2310,0,0,3.38,2.21,0,0
20230414:0010,0,0,3.53,2.41,0,0
20230414:0110,0,0,3.86,2.55,0,0
20230414:0210,0,0,4.37,2.48,0,0
20230414:0310,0,0,4.68,2.41,0,0
20230414:0410,0,0,4.82,2.48,0,0
20230414:0510,0,0,4.96,2.55,0,0
20230414:0610,39.98,7.35,5.17,2.55,0,14392.8
20230414:0710,44.46,16.68,6.08,2.83,0,16005.6
20230414:0810,71.89,25.81,7.08,3.24,0,25880.4
20230414:0910,156.09,34.24,7.78,4.07,0,56192.4
20230414:1010,507.77,41.32,7.92,5.31,0,182797.2
20230414:1110,339.78,46.2,7.88,5.86,0,122320.8
20230414:1210,174.06,47.96,8.51,6.07,0,62661.6
20230414:1310,123.92,46.2,8.56,4.41,0,44611.2
20230414:1410,111.63,41.33,8.19,2.97,0,40186.8
20230414:1510,127.71,34.24,8.27,2.62,0,45975.6
20230414:1610,120.14,25.81,8.29,1.45,0,43250.4
20230414:1710,84.35,16.69,8.06,0.9,0,30366
20230414:1810,41.72,7.36,7.92,1.66,0,15019.2
20230414:1910,0,0,7.54,2.9,0,0
20230414:2010,0,0,6.84,2.62,0,0
20230414:2110,0,0,5.88,2.83,0,0
20230414:2210,0,0,5.23,3.17,0,0
20230414:2310,0,0,5.02,3.31,0,0
20230415:0010,0,0,4.46,3.17,0,0
20230415:0110,0,0,3.76,3.03,0,0
20230415:0210,0,0,3.17,2.97,0,0
20230415:0310,0,0,2.9,2.69,0,0
20230415:0410,0,0,2.69,2.48,0,0
20230415:0510,0,0,2.23,2.41,0,0
20230415:0610,57.07,7.67,2.29,2.21,0,20545.2
20230415:0710,238.28,17,4.65,2.14,0,85780.8
20230415:0810,493.73,26.13,6.52,3.1,0,177742.8
20230415:0910,680.91,34.57,7.52,4.48,0,245127.6
20230415:1010,507.73,41.68,8.32,4.14,0,182782.8
20230415:1110,575.18,46.56,9.03,3.79,0,207064.8
20230415:1210,608.75,48.32,9.67,3.52,0,219150
20230415:1310,819.61,46.53,10.23,3.17,0,295059.6
20230415:1410,879.59,41.63,10.71,2.69,0,316652.4
20230415:1510,687.74,34.51,11.16,2.21,0,247586.4
20230415:1610,361.21,26.06,11.39,1.72,0,130035.6
20230415:1710,205.98,16.93,11.34,1.1,0,74152.8
20230415:1810,56.32,7.6,10.93,0.9,0,20275.2
20230415:1910,0,0,10.4,1.24,0,0
20230415:2010,0,0,8.65,1.38,0,0
20230415:2110,0,0,7.52,1.38,0,0
20230415:2210,0,0,6.9,1.59,0,0
20230415:2310,0,0,6.37,1.66,0,0
20230416:0010,0,0,6.02,1.72,0,0
20230416:0110,0,0,5.77,1.66,0,0
20230416:0210,0,0,5.98,1.45,0,0
20230416:0310,0,0,6.12,1.38,0,0
20230416:0410,0,0,6.19,1.38,0,0
20230416:0510,0,0,6.39,1.45,0,0
