time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230106:0710,0,0,6.24,3.31,0,0
20230106:0810,0,0,6.22,3.38,0,0
20230106:0910,59.88,5.66,6.29,3.66,0,21556.8
20230106:1010,179.76,11.11,7.2,4.14,0,64713.6
20230106:1110,105.98,14.67,8.1,3.79,0,38152.8
20230106:1210,425.9,16.03,8.9,3.93,0,153324
20230106:1310,577.55,15.05,9.59,4.41,0,207918
20230106:1410,270.6,11.85,10.05,4.62,0,97416
20230106:1510,38.92,6.69,10.23,5.1,0,14011.2
20230106:1610,0,0,10,4.9,0,0
20230106:1710,0,0,10.39,6.28,0,0
20230106:1810,0,0,10.94,6.97,0,0
20230106:1910,0,0,11.05,7.03,0,0
20230106:2010,0,0,11.11,7.24,0,0
20230106:2110,0,0,11.18,7.52,0,0
20230106:2210,0,0,11.24,7.72,0,0
20230106:2310,0,0,11.27,8.21,0,0
20230107:0010,0,0,11.24,8.69,0,0
20230107:0110,0,0,11.2,9.1,0,0
20230107:0210,0,0,11.11,9.31,0,0
20230107:0310,0,0,10.94,9.45,0,0
20230107:0410,0,0,10.6,9.45,0,0
20230107:0510,0,0,10.14,9.45,0,0
20230107:0610,0,0,10.1,9.66,0,0
20230107:0710,0,0,10.14,9.31,0,0
20230107:0810,0,0,10.19,9.1,0,0
20230107:0910,30.67,5.73,10.13,7.72,0,11041.2
20230107:1010,13.24,11.2,10.12,6.48,0,4766.4
20230107:1110,139.36,14.77,9.96,6.69,0,50169.6
20230107:1210,56.76,16.15,9.93,5.93,0,20433.6
20230107:1310,335.87,15.19,9.97,5.86,0,120913.2
20230107:1410,189.42,11.99,9.62,7.1,0,68191.2
20230107:1510,10.86,6.84,8.52,8.55,0,3909.6
20230107:1610,0,0,7.79,7.17,0,0
20230107:1710,0,0,7.15,6.21,0,0
20230107:1810,0,0,6.59,6.28,0,0
20230107:1910,0,0,6.31,5.93,0,0
20230107:2010,0,0,6.68,6.21,0,0
20230107:2110,0,0,6.96,6.48,0,0
20230107:2210,0,0,6.86,6.41,0,0
20230107:2310,0,0,6.94,6.28,0,0
20230108:0010,0,0,6.92,6.14,0,0
20230108:0110,0,0,7.11,6.14,0,0
20230108:0210,0,0,6.91,5.79,0,0
20230108:0310,0,0,6.76,5.45,0,0
20230108:0410,0,0,6.54,5.24,0,0
20230108:0510,0,0,6.27,5.24,0,0
20230108:0610,0,0,6.04,5.1,0,0
20230108:0710,0,0,5.51,4.62,0,0
20230108:0810,0,0,5.6,4.41,0,0
20230108:0910,33.67,5.8,5.88,5.03,0,12121.2
20230108:1010,19.87,11.29,6.75,5.86,0,7153.2
20230108:1110,53.92,14.88,7.32,6.21,0,19411.2
20230108:1210,153.14,16.28,7.75,6.41,0,55130.4
20230108:1310,457.72,15.34,6.89,7.17,0,164779.2
20230108:1410,35.95,12.15,6.69,5.93,0,12942
20230108:1510,7.57,7,6.53,5.52,0,2725.2
20230108:1610,0,0,5.89,4.69,0,0
20230108:1710,0,0,5.19,4.55,0,0
20230108:1810,0,0,4.91,4.69,0,0
20230108:1910,0,0,4.87,4.62,0,0
20230108:2010,0,0,5.17,4.9,0,0
20230108:2110,0,0,5.71,4.69,0,0
20230108:2210,0,0,5.75,4.97,0,0
20230108:2310,0,0,5.94,5.79,0,0
20230109:0010,0,0,5.84,5.52,0,0
20230109:0110,0,0,5.49,5.1,0,0
20230109:0210,0,0,5.36,5.24,0,0
20230109:0310,0,0,5.38,5.45,0,0
20230109:0410,0,0,5.48,5.86,0,0
20230109:0510,0,0,5.27,6.07,0,0
20230109:0610,0,0,5.28,6.07,0,0
20230109:0710,0,0,5.1,5.79,0,0
20230109:0810,0,0,5.35,5.86,0,0
20230109:0910,129.22,5.88,5.56,5.79,0,46519.2
20230109:1010,71.48,11.39,6.18,5.86,0,25732.8
20230109:1110,585.31,15,6.73,6.48,0,210711.6
20230109:1210,587.62,16.42,7.1,6.76,0,211543.2
20230109:1310,557.2,15.49,7.02,7.24,0,200592
20230109:1410,463.71,12.31,6.72,6.97,0,166935.6
20230109:1510,71.95,7.16,6.7,7.24,0,25902
20230109:1610,0,0,6.4,6.83,0,0
20230109:1710,0,0,6.05,6.48,0,0
20230109:1810,0,0,5.78,6.34,0,0
20230109:1910,0,0,5.37,5.93,0,0
20230109:2010,0,0,5.43,6,0,0
20230109:2110,0,0,5.48,5.66,0,0
20230109:2210,0,0,5.45,4.97,0,0
20230109:2310,0,0,5.28,4.07,0,0
20230110:0010,0,0,4.65,3.31,0,0
20230110:0110,0,0,4.13,3.03,0,0
20230110:0210,0,0,3.93,3.17,0,0
20230110:0310,0,0,4.5,3.45,0,0
20230110:0410,0,0,5.17,4,0,0
20230110:0510,0,0,6,4.55,0,0
20230110:0610,0,0,6.54,5.24,0,0
20230110:0710,0,0,7.23,6.83,0,0
20230110:0810,0,0,7.78,7.59,0,0
20230110:0910,19.87,5.97,8.84,6.76,0,7153.2
20230110:1010,21.76,11.49,10.57,7.03,0,7833.6
20230110:1110,61.49,15.13,11.31,7.59,0,22136.4
20230110:1210,45.41,16.56,11.52,7.66,0,16347.6
20230110:1310,86.28,15.64,11.62,7.59,0,31060.8
20230110:1410,23.65,12.47,11.67,7.59,0,8514
20230110:1510,28.38,7.33,11.69,7.59,0,10216.8
20230110:1610,0,0,11.72,7.72,0,0
20230110:1710,0,0,11.83,8.14,0,0
20230110:1810,0,0,12.04,8.55,0,0
20230110:1910,0,0,12.02,8.34,0,0
20230110:2010,0,0,11.39,8.55,0,0
20230110:2110,0,0,9.98,7.31,0,0
20230110:2210,0,0,9.16,6.69,0,0
20230110:2310,0,0,8.84,6.34,0,0
20230111:0010,0,0,8.45,6.28,0,0
20230111:0110,0,0,8.04,6.28,0,0
20230111:0210,0,0,7.77,6.14,0,0
20230111:0310,0,0,7.36,6,0,0
20230111:0410,0,0,7.16,5.93,0,0
20230111:0510,0,0,7.07,6.21,0,0
20230111:0610,0,0,6.89,6.21,0,0
20230111:0710,0,0,6.55,5.59,0,0
20230111:0810,0,0,6.51,6.14,0,0
20230111:0910,60.99,6.06,6.53,6.41,0,21956.4
20230111:1010,341.78,11.61,7.23,6.97,0,123040.8
20230111:1110,50.14,15.26,7.95,7.59,0,18050.4
20230111:1210,123.08,16.71,8.22,8.14,0,44308.8
20230111:1310,67.16,15.81,8.18,9.86,0,24177.6
20230111:1410,28.38,12.65,7.49,9.31,0,10216.8
20230111:1510,174.39,7.51,7.58,9.31,0,62780.4
20230111:1610,0,0,7.62,9.59,0,0
20230111:1710,0,0,7.65,8.69,0,0
20230111:1810,0,0,7.87,8.28,0,0
20230111:1910,0,0,8.21,7.72,0,0
20230111:2010,0,0,8.41,7.72,0,0
20230111:2110,0,0,8.68,7.45,0,0
20230111:2210,0,0,8.94,8,0,0
20230111:2310,0,0,9.12,9.03,0,0
20230112:0010,0,0,9.56,10.07,0,0
20230112:0110,0,0,10.26,10.62,0,0
20230112:0210,0,0,10.64,10.62,0,0
20230112:0310,0,0,10.66,10.07,0,0
20230112:0410,0,0,10.68,9.66,0,0
20230112:0510,0,0,10.62,9.03,0,0
20230112:0610,0,0,10.55,8.34,0,0
20230112:0710,0,0,10.45,7.79,0,0
20230112:0810,0,0,10.44,7.52,0,0
20230112:0910,10.41,6.17,10.47,7.38,0,3747.6
20230112:1010,29.33,11.73,10.42,7.17,0,10558.8
20230112:1110,58.65,15.4,10.38,7.52,0,21114
20230112:1210,47.3,16.87,10.42,7.93,0,17028
20230112:1310,196.87,15.98,10.46,8.62,0,70873.2
20230112:1410,403.03,12.83,9.92,8.62,0,145090.8
20230112:1510,190.73,7.69,9.16,8.34,0,68662.8
20230112:1610,0,0,8.3,7.93,0,0
20230112:1710,0,0,7.77,7.72,0,0
20230112:1810,0,0,7.67,7.66,0,0
20230112:1910,0,0,7.6,7.59,0,0
20230112:2010,0,0,7.31,8.21,0,0
20230112:2110,0,0,6.96,7.93,0,0
20230112:2210,0,0,7.01,7.93,0,0
20230112:2310,0,0,6.99,8,0,0
20230113:0010,0,0,6.98,8.55,0,0
20230113:0110,0,0,6.5,8.62,0,0
20230113:0210,0,0,6.39,9.03,0,0
20230113:0310,0,0,6.4,9.17,0,0
20230113:0410,0,0,6.52,9.17,0,0
20230113:0510,0,0,6.74,9.24,0,0
20230113:0610,0,0,6.99,8.97,0,0
20230113:0710,0,0,6.86,8.41,0,0
20230113:0810,0,0,6.7,8.07,0,0
20230113:0910,116.44,6.27,6.84,8.28,0,41918.4
20230113:1010,320.45,11.85,7.31,8.62,0,115362
20230113:1110,530.78,15.55,7.86,7.45,0,191080.8
20230113:1210,560.68,17.03,8.3,8.48,0,201844.8
20230113:1310,566.86,16.16,8.41,8.28,0,204069.6
20230113:1410,463.31,13.01,8.33,7.38,0,166791.6
20230113:1510,241.09,7.88,8.06,7.03,0,86792.4
20230113:1610,0,0,7.44,6.14,0,0
20230113:1710,0,0,6.75,5.59,0,0
20230113:1810,0,0,6.24,4.83,0,0
20230113:1910,0,0,5.63,3.59,0,0
20230113:2010,0,0,5.28,3.38,0,0
20230113:2110,0,0,5.14,3.72,0,0
